Tree,GroupParent,GroupRead,GroupModify,GroupDescription,RealPath,,,,,,
\3_USZI\316_SCAN\DPESTREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-DPESTREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-DPESTREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\DPESTREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\DPESTREGIO\,,,,,,
\3_USZI\316_SCAN\EPESTREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-EPESTREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-EPESTREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\EPESTREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\EPESTREGIO\,,,,,,
\3_USZI\316_SCAN\KPESTREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-KPESTREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-KPESTREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\KPESTREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\KPESTREGIO\,,,,,,
\3_USZI\316_SCAN\MISKREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-MISKREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-MISKREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\MISKREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\MISKREGIO\,,,,,,
\3_USZI\316_SCAN\STARJREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-STARJREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-STARJREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\STARJREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\STARJREGIO\,,,,,,
\3_USZI\316_SCAN\EGERREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-EGERREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-EGERREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\EGERREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\EGERREGIO\,,,,,,
\3_USZI\316_SCAN\SZERREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-SZERREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-SZERREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\SZERREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\SZERREGIO\,,,,,,
\3_USZI\316_SCAN\GYONREGIO\,ACCELMU-NKM-KSG-3_USZI-316_SCAN-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-GYONREGIO-READ,ACCELMU-NKM-KSG-3_USZI-316_SCAN-GYONREGIO-MOD,\\aekpfp01\KSG\3_USZI\316_SCAN\GYONREGIO\,M:\MNT-NKM-KSG\3_USZI\316_SCAN\GYONREGIO\,,,,,,
\4_MO,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-4_MO-READ,empty,\\aekpfp01\KSG\4_MO,M:\MNT-NKM-KSG\4_MO,,,,,,
\4_MO\41_SZMO\SZAB_FOLY\,ACCELMU-NKM-KSG-4_MO-41_SZMO-READ,ACCELMU-NKM-KSG-4_MO-41_SZMO-SZAB_FOLY-READ,ACCELMU-NKM-KSG-4_MO-41_SZMO-SZAB_FOLY-MOD,\\aekpfp01\KSG\4_MO\41_SZMO\SZAB_FOLY\,M:\MNT-NKM-KSG\4_MO\41_SZMO\SZAB_FOLY\,,,,,,
\4_MO\41_SZMO\OKTATAS\,ACCELMU-NKM-KSG-4_MO-41_SZMO-READ,ACCELMU-NKM-KSG-4_MO-41_SZMO-OKTATAS-READ,ACCELMU-NKM-KSG-4_MO-41_SZMO-OKTATAS-MOD,\\aekpfp01\KSG\4_MO\41_SZMO\OKTATAS\,M:\MNT-NKM-KSG\4_MO\41_SZMO\OKTATAS\,,,,,,
\4_MO\42_UZ\UZEMELTET\,ACCELMU-NKM-KSG-4_MO-42_UZ-READ,ACCELMU-NKM-KSG-4_MO-42_UZ-UZEMELTET-READ,ACCELMU-NKM-KSG-4_MO-42_UZ-UZEMELTET-MOD,\\aekpfp01\KSG\4_MO\42_UZ\UZEMELTET\,M:\MNT-NKM-KSG\4_MO\42_UZ\UZEMELTET\,,,,,,
\4_MO\42_UZ\HELPLINE\,ACCELMU-NKM-KSG-4_MO-42_UZ-READ,ACCELMU-NKM-KSG-4_MO-42_UZ-HELPLINE-READ,ACCELMU-NKM-KSG-4_MO-42_UZ-HELPLINE-MOD,\\aekpfp01\KSG\4_MO\42_UZ\HELPLINE\,M:\MNT-NKM-KSG\4_MO\42_UZ\HELPLINE\,,,,,,
\4_MO\43_ERE\EROFORRAS\,ACCELMU-NKM-KSG-4_MO-43_ERE-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-EROFORRAS-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-EROFORRAS-MOD,\\aekpfp01\KSG\4_MO\43_ERE\EROFORRAS\,M:\MNT-NKM-KSG\4_MO\43_ERE\EROFORRAS\,,,,,,
\4_MO\43_ERE\RIPORTING\,ACCELMU-NKM-KSG-4_MO-43_ERE-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-RIPORTING-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-RIPORTING-MOD,\\aekpfp01\KSG\4_MO\43_ERE\RIPORTING\,M:\MNT-NKM-KSG\4_MO\43_ERE\RIPORTING\,,,,,,
\4_MO\43_ERE\ELEMZES\,ACCELMU-NKM-KSG-4_MO-43_ERE-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-ELEMZES-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-ELEMZES-MOD,\\aekpfp01\KSG\4_MO\43_ERE\ELEMZES\,M:\MNT-NKM-KSG\4_MO\43_ERE\ELEMZES\,,,,,,
\4_MO\43_ERE\F_OSZTAS\,ACCELMU-NKM-KSG-4_MO-43_ERE-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-F_OSZTAS-READ,ACCELMU-NKM-KSG-4_MO-43_ERE-F_OSZTAS-MOD,\\aekpfp01\KSG\4_MO\43_ERE\F_OSZTAS\,M:\MNT-NKM-KSG\4_MO\43_ERE\F_OSZTAS\,,,,,,
\4_MO\44_VEZETES,ACCELMU-NKM-KSG-4_MO-READ,ACCELMU-NKM-KSG-4_MO-44_VEZETES-READ,empty,\\aekpfp01\KSG\4_MO\44_VEZETES,M:\MNT-NKM-KSG\4_MO\44_VEZETES,,,,,,
\4_MO\45_KOZOS,ACCELMU-NKM-KSG-4_MO-READ,ACCELMU-NKM-KSG-4_MO-45_KOZOS-READ,empty,\\aekpfp01\KSG\4_MO\45_KOZOS,M:\MNT-NKM-KSG\4_MO\45_KOZOS,,,,,,
\5_PANASZ,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-5_PANASZ-READ,empty,\\aekpfp01\KSG\5_PANASZ,M:\MNT-NKM-KSG\5_PANASZ,,,,,,
\6_GK,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-6_GK-READ,empty,\\aekpfp01\KSG\6_GK,M:\MNT-NKM-KSG\6_GK,,,,,,
\7_KSGKOZOS,ACCELMU-NKM-KSG-READ,ACCELMU-NKM-KSG-7_KSGKOZOS-READ,empty,\\aekpfp01\KSG\7_KSGKOZOS,M:\MNT-NKM-KSG\7_KSGKOZOS,,,,,,
\7_KSGKOZOS\71_SZABALY,ACCELMU-NKM-KSG-7_KSGKOZOS-READ,ACCELMU-NKM-KSG-7_KSGKOZOS-71_SZABALY-READ,empty,\\aekpfp01\KSG\7_KSGKOZOS\71_SZABALY,M:\MNT-NKM-KSG\7_KSGKOZOS\71_SZABALY,,,,,,
